cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      2.201647E+01
Amp1(mV):       8.000000E+01
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 5.000000E-01   1.610458E-04   0.000000E+00
 5.045000E-01   1.875435E-04   4.096000E-04
 5.089854E-01   1.874530E-04   8.192000E-04
 5.134418E-01   1.870332E-04   1.228800E-03
 5.178547E-01   1.861954E-04   1.638400E-03
 5.222100E-01   1.848793E-04   2.048000E-03
 5.264935E-01   1.830457E-04   2.457600E-03
 5.306913E-01   1.806708E-04   2.867200E-03
 5.347900E-01   1.777399E-04   3.276800E-03
 5.387762E-01   1.742468E-04   3.686400E-03
 5.426371E-01   1.701911E-04   4.096000E-03
 5.463601E-01   1.655770E-04   4.505600E-03
 5.499333E-01   1.604129E-04   4.915200E-03
 5.533450E-01   1.547093E-04   5.324800E-03
 5.565843E-01   1.484810E-04   5.734400E-03
 5.596405E-01   1.417448E-04   6.144000E-03
 5.625039E-01   1.345194E-04   6.553600E-03
 5.651650E-01   1.268266E-04   6.963200E-03
 5.676154E-01   1.186895E-04   7.372800E-03
 5.698469E-01   1.101331E-04   7.782400E-03
 5.718524E-01   1.011855E-04   8.192000E-03
 5.736254E-01   9.187600E-05   8.601600E-03
 5.751599E-01   8.223425E-05   9.011200E-03
 5.764511E-01   7.229314E-05   9.420800E-03
 5.774946E-01   6.208656E-05   9.830400E-03
 5.782871E-01   5.164894E-05   1.024000E-02
 5.788258E-01   4.101678E-05   1.064960E-02
 5.791090E-01   3.022712E-05   1.105920E-02
 5.791356E-01   1.931751E-05   1.146880E-02
 5.789055E-01   8.326528E-06   1.187840E-02
 5.784193E-01  -2.707216E-06   1.228800E-02
 5.776784E-01  -1.374409E-05   1.269760E-02
 5.766852E-01  -2.474393E-05   1.310720E-02
 5.754427E-01  -3.566815E-05   1.351680E-02
 5.739549E-01  -4.647763E-05   1.392640E-02
 5.722263E-01  -5.713326E-05   1.433600E-02
 5.702625E-01  -6.759696E-05   1.474560E-02
 5.680696E-01  -7.783170E-05   1.515520E-02
 5.656547E-01  -8.780045E-05   1.556480E-02
 5.630253E-01  -9.746880E-05   1.597440E-02
 5.601898E-01  -1.068023E-04   1.638400E-02
 5.571571E-01  -1.157681E-04   1.679360E-02
 5.539370E-01  -1.243360E-04   1.720320E-02
 5.505397E-01  -1.324757E-04   1.761280E-02
 5.469759E-01  -1.401601E-04   1.802240E-02
 5.432571E-01  -1.473637E-04   1.843200E-02
 5.393950E-01  -1.540634E-04   1.884160E-02
 5.354020E-01  -1.602374E-04   1.925120E-02
 5.312907E-01  -1.658657E-04   1.966080E-02
 5.270743E-01  -1.709322E-04   2.007040E-02
 5.227662E-01  -1.754214E-04   2.048000E-02
 5.183801E-01  -1.793213E-04   2.088960E-02
 5.139300E-01  -1.826215E-04   2.129920E-02
 5.094302E-01  -1.853138E-04   2.170880E-02
 5.048948E-01  -1.873929E-04   2.211840E-02
 5.003385E-01  -1.888551E-04   2.252800E-02
 4.957757E-01  -1.896997E-04   2.293760E-02
