Ewe/V	<I>/mA	time/s
-1.3494740E-001	-7.409008401703734E-004	3.305429927877412E+001
-1.5169616E-001	-7.277333545948556E-004	3.322289927451493E+001
-1.6854446E-001	-6.477005605572345E-004	3.339119927026331E+001
-1.8550354E-001	-7.854398985538066E-004	3.356019926599402E+001
-2.0217161E-001	-7.214384764347749E-004	3.372859926173987E+001
-2.1910645E-001	-7.446571003536413E-004	3.389659925749584E+001
-2.3590417E-001	-6.857623212375130E-004	3.406509925323917E+001
-2.5280595E-001	-6.627178357563029E-004	3.423389924897492E+001
-2.6957348E-001	-7.225529470368929E-004	3.440299924470310E+001
-2.8646725E-001	-7.586194142196537E-004	3.457189924043632E+001
-3.0337349E-001	-7.396331462413523E-004	3.474079923616955E+001
-3.2029864E-001	-7.092862879048215E-004	3.490979923190025E+001
-3.3715025E-001	-8.829709054344465E-004	3.507869922763348E+001
-3.5398000E-001	-8.958764412996621E-004	3.524749922336923E+001
-3.7081063E-001	-7.264040827518578E-004	3.541599921911256E+001
-3.8773587E-001	-7.126428503346084E-004	3.558429921486095E+001
-4.0453425E-001	-6.836199486898818E-004	3.575279921060428E+001
-4.2135644E-001	-8.526489690527453E-004	3.592129920634761E+001
-4.3819839E-001	-8.482191762389582E-004	3.609029920207831E+001
-4.5509470E-001	-8.303829010654490E-004	3.625929919780901E+001
-4.7207481E-001	-7.926574434853131E-004	3.642819919354224E+001
-4.8877850E-001	-8.324383116148915E-004	3.659649918929063E+001
-5.0561982E-001	-8.198560210962123E-004	3.676449918504659E+001
-5.2237761E-001	-8.092971138485318E-004	3.693279918079497E+001
-5.3927481E-001	-8.352833983753978E-004	3.710129917653830E+001
-5.5603212E-001	-8.729490159456498E-004	3.726999917227658E+001
-5.7285643E-001	-8.015528640669643E-004	3.743829916802497E+001
-5.8979279E-001	-8.803767620693612E-004	3.760689916376577E+001
-6.0647577E-001	-7.634472238490161E-004	3.777529915951163E+001
-6.2346935E-001	-8.487178413666002E-004	3.794399915524991E+001
-6.4015722E-001	-8.483265768085609E-004	3.811239915099577E+001
-6.5708333E-001	-8.931241287550747E-004	3.828059914674668E+001
-6.7392147E-001	-8.892144451303702E-004	3.844959914247738E+001
-6.9073761E-001	-8.341471241830600E-004	3.861849913821061E+001
-7.0768565E-001	-9.063276025440027E-004	3.878739913394384E+001
-7.2443575E-001	-1.130712244820357E-003	3.895599912968464E+001
-7.4144655E-001	-8.339659852740766E-004	3.912409912543808E+001
-7.5809473E-001	-8.397242272145267E-004	3.929229912118899E+001
-7.7500349E-001	-9.098711480510675E-004	3.946109911692474E+001
-7.9184461E-001	-9.135699712398901E-004	3.962989911266050E+001
-8.0872053E-001	-8.194123675114001E-004	3.979839910840383E+001
-8.2550275E-001	-9.282921948037346E-004	3.996689910414716E+001
-8.4249699E-001	-9.267145848486230E-004	4.013599909987533E+001
-8.5920352E-001	-8.366797510796446E-004	4.030459909561614E+001
-8.7605143E-001	-1.071291584088273E-003	4.047319909135695E+001
-8.9296901E-001	-9.174370631352680E-004	4.064199908709270E+001
-9.0981954E-001	-9.917505084871500E-004	4.081029908284108E+001
-9.2663646E-001	-1.041534214366570E-003	4.097889907858189E+001
-9.4349235E-001	-8.839521709878874E-004	4.114739907432522E+001
-9.6029133E-001	-1.008330826262041E-003	4.131569907007361E+001
-9.7732037E-001	-9.221379700006561E-004	4.148499906579673E+001
-9.9401450E-001	-8.353619343600570E-004	4.165379906153248E+001
-1.0109651E+000	-9.684885976678111E-004	4.182189905728592E+001
-1.0277421E+000	-1.060181554951668E-003	4.199059905302420E+001
-1.0447707E+000	-8.834361748188751E-004	4.215989904874732E+001
-1.0616314E+000	-1.082487372653870E-003	4.232949904446286E+001
-1.0784795E+000	-9.714143960265192E-004	4.249829904019862E+001
-1.0955083E+000	-1.054171665403839E-003	4.266699903593690E+001
-1.1121454E+000	-9.690659595996964E-004	4.283539903168275E+001
-1.1291335E+000	-9.636206954076812E-004	4.300359902743367E+001
-1.1459372E+000	-9.019863605646133E-004	4.317259902316437E+001
-1.1628566E+000	-9.095863516588535E-004	4.334169901889254E+001
-1.1796261E+000	-9.637737921781471E-004	4.351029901463335E+001
-1.1965659E+000	-1.126282860967892E-003	4.367879901037668E+001
-1.2133977E+000	-9.793560164780939E-004	4.384749900611496E+001
-1.2303083E+000	-1.137431592707402E-003	4.401679900183808E+001
-1.2471515E+000	-1.156780893928440E-003	4.418619899755868E+001
-1.2641191E+000	-9.906818927786776E-004	4.435459899330453E+001
-1.2809453E+000	-1.001363959628326E-003	4.452299898905039E+001
-1.2977316E+000	-1.114126659412041E-003	4.469169898478867E+001
-1.3144990E+000	-1.033262664980290E-003	4.485969898054464E+001
-1.3315008E+000	-1.116149599729538E-003	4.502819897628797E+001
-1.3482125E+000	-1.228247861134513E-003	4.519699897202372E+001
-1.3650678E+000	-1.157304632061910E-003	4.536529896777211E+001
-1.3818536E+000	-1.160547485569880E-003	4.553289896353817E+001
-1.3987215E+000	-1.265624335817117E-003	4.570099895929161E+001
-1.4155389E+000	-1.337426861986200E-003	4.587019895501726E+001
-1.4323896E+000	-1.332261849092119E-003	4.603869895076059E+001
-1.4492731E+000	-1.286861228393301E-003	4.620729894650140E+001
-1.4661263E+000	-1.429350958296540E-003	4.637629894223210E+001
-1.4827750E+000	-1.533326052237213E-003	4.654409893799311E+001
-1.4996500E+000	-1.499132910016396E-003	4.671119893377181E+001
-1.5164295E+000	-1.627983096131470E-003	4.687929892952525E+001
-1.5331883E+000	-1.534769178491472E-003	4.704749892527616E+001
-1.5499389E+000	-1.747860546631463E-003	4.721559892102960E+001
-1.5669141E+000	-1.853989389333389E-003	4.738429891676788E+001
-1.5836623E+000	-2.108596885998758E-003	4.755349891249352E+001
-1.6005180E+000	-2.565661662969813E-003	4.772249890822422E+001
-1.6175508E+000	-2.800795063793160E-003	4.789149890395493E+001
-1.6342640E+000	-3.455243676151451E-003	4.806059889968310E+001
-1.6511657E+000	-4.053150801633345E-003	4.822949889541633E+001
-1.6680357E+000	-4.646736354392528E-003	4.839819889115461E+001
-1.6849556E+000	-5.294429094330647E-003	4.856679888689541E+001
-1.7017884E+000	-5.858421761538848E-003	4.873589888262359E+001
-1.7187302E+000	-6.192292734105348E-003	4.890479887835681E+001
-1.7357227E+000	-6.366035295094608E-003	4.907389887408499E+001
-1.7525576E+000	-6.436363608085499E-003	4.924319886980811E+001
-1.7695644E+000	-6.201427033411394E-003	4.941209886554134E+001
-1.7864028E+000	-6.040778651889206E-003	4.958099886127457E+001
-1.8032529E+000	-5.837458132541676E-003	4.974949885701790E+001
-1.8200623E+000	-5.502899053295096E-003	4.991749885277386E+001
-1.8368472E+000	-5.312941832469692E-003	5.008539884853235E+001
-1.8537203E+000	-5.148427499351529E-003	5.025379884427821E+001
-1.8704170E+000	-5.089174430308270E-003	5.042239884001901E+001
-1.8873903E+000	-4.855354388540276E-003	5.059089883576235E+001
-1.9040235E+000	-4.683498626195187E-003	5.075929883150820E+001
-1.9209008E+000	-4.660898909261191E-003	5.092689882727427E+001
-1.9376975E+000	-4.438603683923813E-003	5.109459882303781E+001
-1.9544801E+000	-4.380486280217782E-003	5.126289881878620E+001
-1.9712955E+000	-4.278122114992025E-003	5.143159881452448E+001
-1.9881444E+000	-4.236614831078143E-003	5.160039881026023E+001
-2.0050406E+000	-4.212930162686840E-003	5.176939880599093E+001
-2.0218720E+000	-4.183590732488321E-003	5.193789880173426E+001
-2.0387154E+000	-4.239743964840503E-003	5.210619879748265E+001
-2.0555878E+000	-4.108545538717062E-003	5.227469879322598E+001
-2.0723712E+000	-4.247112759909896E-003	5.244329878896679E+001
-2.0893459E+000	-4.126434629248037E-003	5.261229878469749E+001
-2.1060655E+000	-4.194625079536607E-003	5.278089878043829E+001
