kzero,Ezero,P
5.00000000e-03,-1.00000000e-01,4.41711527e-06
5.00000000e-03,-5.00000000e-02,1.63023164e-05
5.00000000e-03,0.00000000e+00,1.32550383e-03
5.00000000e-03,5.00000000e-02,1.97851485e-05
5.00000000e-03,1.00000000e-01,5.49459208e-06
1.00000000e-02,-1.00000000e-01,4.50326169e-06
1.00000000e-02,-5.00000000e-02,1.70959811e-05
1.00000000e-02,0.00000000e+00,9.88223407e-01
1.00000000e-02,5.00000000e-02,1.84695812e-05
1.00000000e-02,1.00000000e-01,5.26818038e-06
1.50000000e-02,-1.00000000e-01,4.52738708e-06
1.50000000e-02,-5.00000000e-02,1.72889787e-05
1.50000000e-02,0.00000000e+00,1.03148003e-02
1.50000000e-02,5.00000000e-02,1.79489956e-05
1.50000000e-02,1.00000000e-01,5.18751563e-06
